State/Province,Country/Region,Lat,Long,ID
Queensland,Australia,-28.0167,153.4,512
Queensland,Australia,-28.0167,153.4,513
Queensland,Australia,-28.0167,153.4,514
Queensland,Australia,-28.0167,153.4,515
Queensland,Australia,-28.0167,153.4,516
Queensland,Australia,-28.0167,153.4,517
Queensland,Australia,-28.0167,153.4,518
Queensland,Australia,-28.0167,153.4,519
Queensland,Australia,-28.0167,153.4,520
Queensland,Australia,-28.0167,153.4,521
Queensland,Australia,-28.0167,153.4,522
Queensland,Australia,-28.0167,153.4,523
Queensland,Australia,-28.0167,153.4,524
Queensland,Australia,-28.0167,153.4,525
Queensland,Australia,-28.0167,153.4,526
Queensland,Australia,-28.0167,153.4,527
Queensland,Australia,-28.0167,153.4,528
Queensland,Australia,-28.0167,153.4,529
Queensland,Australia,-28.0167,153.4,530
Queensland,Australia,-28.0167,153.4,531
Queensland,Australia,-28.0167,153.4,532
Queensland,Australia,-28.0167,153.4,533
Queensland,Australia,-28.0167,153.4,534
Queensland,Australia,-28.0167,153.4,535
Queensland,Australia,-28.0167,153.4,536
Queensland,Australia,-28.0167,153.4,537
Queensland,Australia,-28.0167,153.4,538
Queensland,Australia,-28.0167,153.4,539
Queensland,Australia,-28.0167,153.4,540
,Cambodia,11.55,104.9167,541
,Cambodia,11.55,104.9167,542
,Cambodia,11.55,104.9167,543
,Cambodia,11.55,104.9167,544
,Cambodia,11.55,104.9167,545
,Cambodia,11.55,104.9167,546
,Cambodia,11.55,104.9167,547
,Cambodia,11.55,104.9167,548
,Cambodia,11.55,104.9167,549
,Cambodia,11.55,104.9167,550
,Cambodia,11.55,104.9167,551
,Cambodia,11.55,104.9167,552
,Cambodia,11.55,104.9167,553
,Cambodia,11.55,104.9167,554
,Cambodia,11.55,104.9167,555
,Cambodia,11.55,104.9167,556
,Cambodia,11.55,104.9167,557
,Cambodia,11.55,104.9167,558
,Cambodia,11.55,104.9167,559
,Cambodia,11.55,104.9167,560
,Cambodia,11.55,104.9167,561
,Cambodia,11.55,104.9167,562
,Cambodia,11.55,104.9167,563
,Cambodia,11.55,104.9167,564
,Cambodia,11.55,104.9167,565
,Cambodia,11.55,104.9167,566
,Cambodia,11.55,104.9167,567
,Cambodia,11.55,104.9167,568
,Cambodia,11.55,104.9167,569
,Cambodia,11.55,104.9167,570
,Cambodia,11.55,104.9167,571
,Cambodia,11.55,104.9167,572
,Cambodia,11.55,104.9167,573
,Cambodia,11.55,104.9167,574
,Cambodia,11.55,104.9167,575
,Cambodia,11.55,104.9167,576
,Cambodia,11.55,104.9167,577
,Cambodia,11.55,104.9167,578
,Cambodia,11.55,104.9167,579
,Cambodia,11.55,104.9167,580
,Cambodia,11.55,104.9167,581
,Cambodia,11.55,104.9167,582
,Cambodia,11.55,104.9167,583
,Cambodia,11.55,104.9167,584
,Cambodia,11.55,104.9167,585
,Cambodia,11.55,104.9167,586
,Cambodia,11.55,104.9167,587
,Cambodia,11.55,104.9167,588
,Cambodia,11.55,104.9167,589
,Cambodia,11.55,104.9167,590
,Cambodia,11.55,104.9167,591
,Cambodia,11.55,104.9167,592
,Cambodia,11.55,104.9167,593
,Cambodia,11.55,104.9167,594
,Cambodia,11.55,104.9167,595
,Cambodia,11.55,104.9167,596
,Cambodia,11.55,104.9167,597
,Cambodia,11.55,104.9167,598
,Cambodia,11.55,104.9167,599
,Cambodia,11.55,104.9167,600
,Sri Lanka,7,81,601
,Sri Lanka,7,81,602
,Sri Lanka,7,81,603
,Sri Lanka,7,81,604
,Sri Lanka,7,81,605
,Sri Lanka,7,81,606
,Sri Lanka,7,81,607
,Sri Lanka,7,81,608
,Sri Lanka,7,81,609
,Sri Lanka,7,81,610
,Sri Lanka,7,81,611
,Sri Lanka,7,81,612
,Sri Lanka,7,81,613
,Sri Lanka,7,81,614
,Sri Lanka,7,81,615
,Sri Lanka,7,81,616
,Sri Lanka,7,81,617
,Sri Lanka,7,81,618
,Sri Lanka,7,81,619
,Sri Lanka,7,81,620
,Sri Lanka,7,81,621
,Sri Lanka,7,81,622
,Sri Lanka,7,81,623
,Sri Lanka,7,81,624
,Sri Lanka,7,81,625
,Sri Lanka,7,81,626
,Sri Lanka,7,81,627
,Sri Lanka,7,81,628
,Sri Lanka,7,81,629
,Sri Lanka,7,81,630
,Sri Lanka,7,81,631
,Sri Lanka,7,81,632
,Sri Lanka,7,81,633
,Sri Lanka,7,81,634
,Sri Lanka,7,81,635
,Sri Lanka,7,81,636
,Sri Lanka,7,81,637
,Sri Lanka,7,81,638
,Sri Lanka,7,81,639
,Sri Lanka,7,81,640
,Sri Lanka,7,81,641
,Sri Lanka,7,81,642
,Sri Lanka,7,81,643
,Sri Lanka,7,81,644
,Sri Lanka,7,81,645
,Sri Lanka,7,81,646
,Sri Lanka,7,81,647
,Sri Lanka,7,81,648
,Sri Lanka,7,81,649
,Sri Lanka,7,81,650
,Sri Lanka,7,81,651
,Sri Lanka,7,81,652
,Sri Lanka,7,81,653
,Sri Lanka,7,81,654
,Sri Lanka,7,81,655
,Sri Lanka,7,81,656
,Sri Lanka,7,81,657
,Sri Lanka,7,81,658
,Sri Lanka,7,81,659
,Sri Lanka,7,81,660
,Germany,51,9,661
,Germany,51,9,662
,Germany,51,9,663
,Germany,51,9,664
,Germany,51,9,665
,Germany,51,9,666
,Germany,51,9,667
,Germany,51,9,668
,Germany,51,9,669
,Germany,51,9,670
,Germany,51,9,671
,Germany,51,9,672
,Germany,51,9,673
,Germany,51,9,674
,Germany,51,9,675
,Germany,51,9,676
,Germany,51,9,677
,Germany,51,9,678
,Germany,51,9,679
,Germany,51,9,680
,Germany,51,9,681
,Germany,51,9,682
,Germany,51,9,683
,Germany,51,9,684
,Germany,51,9,685
,Germany,51,9,686
,Germany,51,9,687
,Germany,51,9,688
,Germany,51,9,689
,Germany,51,9,690
,Germany,51,9,691
,Germany,51,9,692
,Germany,51,9,693
,Germany,51,9,694
,Germany,51,9,695
,Germany,51,9,696
,Germany,51,9,697
,Germany,51,9,698
,Germany,51,9,699
,Germany,51,9,700
,Germany,51,9,701
,Germany,51,9,702
,Germany,51,9,703
,Germany,51,9,704
,Germany,51,9,705
,Germany,51,9,706
,Germany,51,9,707
,Germany,51,9,708
,Germany,51,9,709
,Germany,51,9,710
,Germany,51,9,711
,Germany,51,9,712
